FLIGHT OPTS         03/11/1992$25,000.00MILLS          DOROTHY E      USA            CARY      E0001           FLTAT3
FINANCE             12/19/1983$27,000.00BOWER          EILEEN A.      USA            CARY      E0002           FINCLK
HR & FACIL          03/12/1985$120000.00READING        TONY R.        USA            CARY      E0003           VICEPR
HR & FACIL          10/16/1989$42,000.00JUDD           CAROL A.       USA            CARY      E0004           FACMNT
AIRPORT OPTS        12/19/1981$19,000.00WONSID         HANNA          DENMARK        COPENHAGENE0005           GRCREW
SALES               04/27/1991$31,000.00ANDERSON       CHRISTOPHER    USA            CARY      E0006           MKTCLK
FLIGHT OPTS         02/09/1983$29,000.00MASSENGILL     ANNETTE M.     USA            CARY      E0007           MECH01
CORPORATE           02/15/1992$85,000.00BADINE         DAVID          CANADA         TORONTO   E0008           OFFMGR
FINANCE             01/26/1987$34,000.00DEMENT         CHARLES        USA            CARY      E0009           ITPROG
AIRPORT OPTS        11/23/1990$29,000.00FOSKEY         JERE D.        USA            CARY      E0010           GRCREW
FLIGHT OPTS         11/09/1990$27,000.00POOLE          JONI L.        USA            CARY      E0011           FLTAT3
SALES               07/13/1994$33,000.00LEWIS          JOSEPH         USA            CARY      E0012           MKTCLK
HR & FACIL          09/20/1991$22,000.00DBAIBO         CATHRYN J.     USA            BOSTON    E0013           RECEPT
FLIGHT OPTS         03/27/1984$19,000.00KEARNEY        ANGELA E.      USA            CARY      E0014           MECH02
AIRPORT OPTS        03/07/1994$41,000.00BROWN          SHANNON T.     USA            CARY      E0015           GRCSUP
HR & FACIL          01/13/1993$36,000.00SIMPSON        ARTHUR P.      USA            CARY      E0017           RESCLK
HR & FACIL          11/12/1985$33,000.00CROSS          AARI Z.        USA            CARY      E0018           FACMNT
SALES               03/13/1982$29,000.00DANZIN         MATHIAS        BELGIUM        BRUSSELS  E0019           SALCLK
HR & FACIL          01/23/1992$21,000.00JOHNSON        RANDALL D.     USA            CARY      E0020           FACCLK
SALES               04/09/1993$43,000.00BAKER JR.      PEDRO          USA            HOUSTON   E0021           SALMGR
HR & FACIL          08/03/1981$27,000.00JOHNSON        NANCY C.       USA            CARY      E0022           FACCLK
FLIGHT OPTS         12/07/1981$31,000.00FORT           THERESA L.     USA            CARY      E0023           FLTAT2
FLIGHT OPTS         07/03/1994$21,000.00COCKERHAM      J. KEVIN       USA            CARY      E0024           FLTAT3
AIRPORT OPTS        01/17/1991$23,000.00BROCKLEBANK    ANNE V.        USA            CARY      E0025           BAGCLK
FINANCE             03/12/1986$24,000.00THOMPSON       AMY L.         USA            CARY      E0026           ITSUPT
FINANCE             02/10/1990$31,000.00BOWMAN         LYNNE C.       USA            CARY      E0027           FINACT
FINANCE             04/05/1983$38,000.00LICHTENSTEIN   MEIKE          GERMANY        FRANKFURT E0028           ITCLK
AIRPORT OPTS        01/24/1986$17,000.00MAROON         SAMUEL PHILLIP USA            CARY      E0029           FLSCHD
SALES               06/05/1984$38,000.00BREWER         MARK           USA            AUSTIN    E0030           MKTCLK
FLIGHT OPTS         06/05/1983$28,000.00GOLDENBERG     DESIREE        USA            CARY      E0031           PILOT3
FINANCE             08/21/1992$24,000.00COUCH          VICKI A.       USA            CARY      E0032           ITPROG
FLIGHT OPTS         04/23/1989$35,000.00FISHER         ALEC           USA            CARY      E0033           FLTAT2
FLIGHT OPTS         08/02/1984$28,000.00TOMPKINS       JEFFREY J.     USA            CARY      E0034           FLTAT3
FINANCE             05/31/1986$26,000.00WEBB           JONATHAN W     USA            CARY      E0035           ITSUPT
FINANCE             06/23/1994$20,000.00REIBOLD        PETER          EUROPE         FRANKFURT E0036           ITSUPT
FINANCE             05/26/1992$19,000.00PEACE          NIK            UK             LONDON    E0037           ITPROG
HR & FACIL          06/05/1981$20,000.00SMITH          WILLIAM F.     USA            CARY      E0038           FACCLK
HR & FACIL          07/28/1982$38,000.00MCKINNON       VISH W.        USA            AUSTIN    E0039           FACCLK
FLIGHT OPTS         02/12/1992$32,000.00WILLIAMS       ARLENE M.      USA            CARY      E0040           FLTAT1
SALES               08/19/1985$45,000.00BRUTON         GAIL H.        CANADA         TORONTO   E0041           MKTCLK
AIRPORT OPTS        02/23/1981$32,000.00ANDERSON       GARY M.        USA            CARY      E0042           BAGCLK
FLIGHT OPTS         04/13/1982$17,000.00WIELENGA       NORMA JEAN     USA            CARY      E0043           PILOT3
SALES               03/15/1994$25,000.00HALL           DREMA A.       USA            CARY      E0044           SALCLK
FINANCE             06/17/1990$21,000.00BELL           NIK            UK             LONDON    E0045           FINMGR
FLIGHT OPTS         08/22/1984$44,000.00GOODYEAR       GREGORY J.     USA            CARY      E0046           FLTAT1
FLIGHT OPTS         09/23/1985$40,000.00ECKHAUSEN      HANS           USA            CARY      E0047           FLTAT3
FLIGHT OPTS         02/06/1992$19,000.00MOELL          ESTHER         USA            CARY      E0048           FLTAT3
FLIGHT OPTS         03/29/1981$29,000.00CHASE JR.      MARJORIE J.    USA            CARY      E0049           FLTAT1
CORPORATE           10/30/1985$95,000.00DEXTER         NANCY A.       USA            PHOENIX   E0050           OFFMGR
FINANCE             01/17/1994$19,000.00LIVELY         ROBIN P.       USA            CARY      E0051           ITPROG
FLIGHT OPTS         02/07/1984$44,000.00MELTON         JOHN K.        USA            CARY      E0052           FLTAT2
AIRPORT OPTS        05/07/1985$39,000.00CURTIS         CARL E.        USA            CARY      E0053           GRCREW
FINANCE             01/18/1986$26,000.00AGARWAL        LINDA B.       USA            CARY      E0054           FINACT
FLIGHT OPTS         10/16/1990$25,000.00WHITE JR.      ANNE           USA            CARY      E0055           PILOT3
AIRPORT OPTS        11/06/1990$29,000.00POOLE          JULIE          CANADA         TORONTO   E0056           GRCREW
SALES               03/15/1985$41,000.00BOOZER         KRAIG E.       USA            CARY      E0058           SALCLK
SALES               10/15/1982$44,000.00BAUWENS        FILIP          BELGIUM        BRUSSELS  E0059           SALMGR
SALES               01/23/1986$16,000.00MOORE          LILIAN         USA            CARY      E0060           SALMGR
FINANCE             11/21/1991$38,000.00HILL           RICHARD G.     USA            CARY      E0061           ITPROG
AIRPORT OPTS        09/16/1985$33,000.00JONES          MICHAEL E.     USA            CARY      E0062           BAGCLK
FINANCE             10/11/1994$39,000.00DEMPSEY        JENNIFER       USA            CARY      E0063           ITPROG
AIRPORT OPTS        11/02/1981$25,000.00LOWMAN         LEAH           USA            CARY      E0064           CHKCLK
FLIGHT OPTS         06/11/1991$20,000.00OVERBY JR.     WOUTER         USA            CARY      E0065           MECH02
HR & FACIL          04/09/1991$39,000.00LATIOLAIS      JAMES T.       USA            NASHVILLE E0066           TELOP
AIRPORT OPTS        07/20/1985$22,000.00OJEDA          BERNICE A.     USA            CARY      E0067           GRCREW
HR & FACIL          03/06/1990$23,000.00PENDERGRA      JOHN           AUSTRALIA      SYDNEY    E0068           FACMNT
AIRPORT OPTS        10/26/1988$36,000.00STEWART JR.    BARBARA L.     USA            CARY      E0069           GRCREW
HR & FACIL          11/20/1991$24,000.00TENGESDAL      ANDERS         NORWAY         OSLO      E0070           RESCLK
FLIGHT OPTS         01/31/1986$17,000.00PERRY          ROBERT A.      USA            CARY      E0071           FLTAT1
AIRPORT OPTS        03/04/1984$24,000.00LE ROY         PATRICIA       FRANCE         PARIS     E0072           BAGCLK
