E E1232 JOHN SMITH 15OCT1999
S 1999 51,684
S 2000 56,180
S 2001 61,065
E E2341 ALICE JONES 01JUN1997
S 1997 65,684
S 1998 71,396
S 1999 77,604
S 2000 84,353
S 2001 91,688
E E3452 LES MOORE 26OCT1993
S 1993 16,751
S 1994 18,207
S 1995 19,791
S 1996 21,512
S 1997 23,382
S 1998 25,415
S 1999 27,626
S 2000 30,027
S 2001 32,639
E E6781 JENNIFER LEE 16SEP1992
S 1992 13,364
S 1993 14,526
S 1994 15,789
S 1995 17,162
S 1996 18,654
S 1997 20,277
S 1998 22,040
S 1999 23,957
S 2000 26,040
S 2001 28,305
E E8321 GAYLE LONG 26NOV1996
S 1996 26,652
S 1997 28,970
S 1998 31,490
S 1999 34,227
S 2000 37,205
S 2001 40,440
E E1052 THOMAS GREEN 27FEB1997
S 1997 28,269
S 1998 30,726
S 1999 33,399
S 2000 36,303
S 2001 39,461
E E1062 NEIL FOREMAN 10MAY1987
S 1987 12,902
S 1988 14,024
S 1989 15,245
S 1990 16,569
S 1991 18,011
S 1992 19,577
S 1993 21,279
S 1994 23,130
S 1995 25,140
S 1996 27,327
S 1997 29,703
S 1998 32,286
S 1999 35,094
S 2000 38,145
S 2001 41,463
E E8172 RANDY THOMPSON 06JAN2000
S 2000 37,398
S 2001 40,650
E E1091 STARR MCKINSEY 20AUG1991
S 1991 17,787
S 1992 19,335
S 1993 21,015
S 1994 22,844
S 1995 24,830
S 1996 26,988
S 1997 29,336
S 1998 31,887
S 1999 34,659
S 2000 37,674
S 2001 40,950
E E9992 RICHARD DALTON 03JUL1990
S 1990 16,167
S 1991 17,573
S 1992 19,101
S 1993 20,762
S 1994 22,568
S 1995 24,530
S 1996 26,663
S 1997 28,982
S 1998 31,502
S 1999 34,241
S 2000 37,218
S 2001 40,455
